Country,Year,Female,Male
Sierra Leone,2002,0.6,2.4
Singapore,1963,11.25,32.4
Singapore,1964,9.21,29.76
Singapore,1965,10.69,30.84
Singapore,1966,12.83,29.98
Singapore,1967,11.91,31.4
Singapore,1968,12.77,31.88
Singapore,1969,10.16,30.45
Singapore,1970,10.97,36.45
Singapore,1971,13.39,39.2
Singapore,1972,12.16,42.78
Singapore,1973,12.88,37.62
Singapore,1974,16.2,43.76
Singapore,1975,12.8,44.32
Singapore,1976,14.98,49.2
Singapore,1977,16.76,50.87
Singapore,1978,17.96,49.61
Singapore,1979,15.47,60.07
Singapore,1980,17.37,55.16
Singapore,1981,18.15,55.89
Singapore,1982,17.29,51.17
Singapore,1983,17.63,55.28
Singapore,1984,17.54,51.12
Singapore,1985,18.09,50.42
Singapore,1986,18.5,46.22
Singapore,1987,17.78,54.99
Singapore,1988,16.57,43.41
Singapore,1989,18.51,53.68
Singapore,1990,15.22,46.73
Singapore,1991,14.53,48.11
Singapore,1992,14.52,45.74
Singapore,1993,16.49,40
Singapore,1994,14.69,40.46
Singapore,1995,14.23,40.14
Singapore,1996,13.68,39.06
Singapore,1997,14.3,37
Singapore,1998,14.72,37.83
Singapore,1999,11.51,37.45
Singapore,2000,10.63,33.04
Singapore,2001,12.78,30.77
Singapore,2002,11.5,30.49
Slovakia,1992,7.73,65.78
Slovakia,1993,7.43,65.89
Slovakia,1994,7.32,62.24
Slovakia,1995,6.76,66.18
Slovakia,1996,6.59,62.02
Slovakia,1997,7.46,61.21
Slovakia,1998,7.32,62.82
Slovakia,1999,7.88,59.62
Slovakia,2000,8.07,61.17
Slovakia,2001,7.26,56.42
Slovakia,2002,7.34,52.55
Slovenia,1985,7.25,58.38
Slovenia,1986,8.27,57.37
Slovenia,1987,6.64,56.87
Slovenia,1988,7.57,60.47
Slovenia,1989,8.7,57.56
Slovenia,1990,8.63,63.79
Slovenia,1991,8.32,58.48
Slovenia,1992,8.63,60.82
Slovenia,1993,9.61,63.3
Slovenia,1994,8.61,61.21
Slovenia,1995,9.93,62.91
Slovenia,1996,9.11,58.8
Slovenia,1997,9.78,55.54
Slovenia,1998,9.24,55.97
Slovenia,1999,11.34,54.47
Slovenia,2000,10.5,52.27
Slovenia,2001,11.12,51.07
Slovenia,2002,11.83,48.75
Solomon Islands,2002,5.2,14.8
Somalia,2002,2.1,3.5
South Africa,1993,8.19,28.35
South Africa,1994,8.83,30.58
South Africa,1995,8.11,27.72
South Africa,1996,8.66,28.25
South Africa,1997,8.01,26.49
South Africa,1998,8.33,27.15
South Africa,1999,7.87,27.93
South Africa,2000,7.61,25.25
South Africa,2001,7.62,25.75
South Africa,2002,7.09,24.88
South Korea,1985,4.5,17.16
South Korea,1986,4.87,19.21
South Korea,1987,5,20.39
South Korea,1988,5.65,22.85
South Korea,1989,5.93,25.23
South Korea,1990,6.48,26.51
South Korea,1991,6.47,28.68
South Korea,1992,8.09,32.76
South Korea,1993,8.6,34.74
South Korea,1994,9.2,37.84
South Korea,1995,9.28,37.72
South Korea,1996,9.44,37.36
South Korea,1997,9.87,38.31
South Korea,1998,9.09,37.06
South Korea,1999,9.5,38.46
South Korea,2000,10.17,40.93
South Korea,2001,10.08,40.7
South Korea,2002,10.37,40.27
Spain,1951,2.22,7.16
Spain,1952,2.35,9.11
Spain,1953,2.33,9.18
Spain,1954,2.76,10.51
Spain,1955,2.75,12.11
Spain,1956,3.12,13.01
Spain,1957,3.51,13.43
Spain,1958,3.24,13.67
Spain,1959,3.3,14
Spain,1960,3.91,16.64
Spain,1961,3.47,17.08
Spain,1962,3.66,18.55
Spain,1963,3.71,18.38
Spain,1964,3.55,18.74
Spain,1965,3.71,19.56
Spain,1966,3.84,20.25
Spain,1967,4.15,20.67
Spain,1968,3.98,21.94
Spain,1969,3.88,21.72
Spain,1970,4.09,22.24
Spain,1971,4.09,23.26
Spain,1972,3.9,23.97
Spain,1973,3.97,24.94
Spain,1974,4.06,26.22
Spain,1975,4,28.71
Spain,1976,3.63,28.75
Spain,1977,4.01,30.17
Spain,1978,3.85,31.97
Spain,1979,3.82,33.34
Spain,1980,3.84,33.25
Spain,1981,3.79,35.64
Spain,1982,3.63,36.31
Spain,1983,3.85,37.27
Spain,1984,3.42,39.37
Spain,1985,3.62,39.89
Spain,1986,3.57,40.27
Spain,1987,3.68,42.56
Spain,1988,3.42,44.56
Spain,1989,3.42,45.31
Spain,1990,3.46,45.6
Spain,1991,3.71,46.22
Spain,1992,3.63,47.15
Spain,1993,3.63,47.81
Spain,1994,3.8,48.17
Spain,1995,3.93,48.63
Spain,1996,3.91,47
Spain,1997,4.17,46.69
Spain,1998,4.3,47.44
Spain,1999,4.36,47.45
Spain,2000,4.65,46.01
Spain,2001,4.77,46.67
Spain,2002,5.08,45.1
Sri Lanka,2002,1.6,9.1
Sudan,2002,0.8,0.9
Suriname,1963,4.07,
Suriname,1964,1.65,
Suriname,1965,2.96,
Suriname,1966,2.96,
Suriname,1971,6.14,
Suriname,1972,4.62,
Suriname,1973,2.12,
Suriname,1975,0.95,
Suriname,1976,3.22,
Suriname,1977,2.92,
Suriname,1978,0.89,
Suriname,1979,3.2,
Suriname,1980,1.07,
Suriname,1981,4.7,
Suriname,1982,4.7,
Suriname,1984,2.67,
Suriname,1985,6.11,
Suriname,1986,0.62,
Suriname,1987,3.04,
Suriname,1988,2.39,
Suriname,1989,4.87,
Suriname,1990,6.3,
Suriname,1991,4.11,
Suriname,1992,5.56,
Suriname,1995,3.22,
Suriname,1996,0.8,
Suriname,1997,3.35,
Suriname,1998,6.07,
Suriname,1999,2.17,
Suriname,2000,4.9,
Suriname,2002,7.4,13.2
Sweden,1951,3.64,9
Sweden,1952,4.05,8.67
Sweden,1953,3.58,9.94
Sweden,1954,3.71,10.25
Sweden,1955,3.37,11.04
Sweden,1956,3.73,11.02
Sweden,1957,3.93,11.84
Sweden,1958,4.11,13.44
Sweden,1959,4.05,13.5
Sweden,1960,3.49,14.25
Sweden,1961,3.96,15.2
Sweden,1962,3.85,15.75
Sweden,1963,3.95,15.18
Sweden,1964,3.58,16.73
Sweden,1965,4.08,17
Sweden,1966,3.89,17.37
Sweden,1967,4.92,18.3
Sweden,1968,4.43,18.19
Sweden,1969,4.57,19.84
Sweden,1970,4.79,19.73
Sweden,1971,5.14,21.67
Sweden,1972,5.1,22.49
Sweden,1973,5.62,22.65
Sweden,1974,5.95,23.51
Sweden,1975,6.06,23.86
Sweden,1976,5.89,24.18
Sweden,1977,6.29,26.02
Sweden,1978,6.62,25.21
Sweden,1979,6.62,26.12
Sweden,1980,7.33,24.52
Sweden,1981,8.01,23.63
Sweden,1982,7.74,23.54
Sweden,1983,7.78,23.57
Sweden,1984,8.22,24.4
Sweden,1985,8.09,24.42
Sweden,1986,8.91,22.63
Sweden,1987,9.42,23.61
Sweden,1988,9.85,23.87
Sweden,1989,9.88,22.56
Sweden,1990,9.74,23.65
Sweden,1991,10.94,24.14
Sweden,1992,11.15,23.46
Sweden,1993,10.49,22.3
Sweden,1994,11.09,22.96
Sweden,1995,12.18,22.4
Sweden,1996,12.81,21.5
Sweden,1997,12.34,22.23
Sweden,1998,12.29,21.16
Sweden,1999,12.76,21.62
Sweden,2000,13.32,20.9
Sweden,2001,14.32,20.63
Sweden,2002,14.04,20.27
Switzerland,1951,3.38,23.61
Switzerland,1952,2.84,22.6
Switzerland,1953,3.15,25.06
Switzerland,1954,3.14,26.02
Switzerland,1955,2.94,27.28
Switzerland,1956,3.43,27.02
Switzerland,1957,3.08,29.16
Switzerland,1958,3.15,28.36
Switzerland,1959,3.06,31.61
Switzerland,1960,3.06,31.89
Switzerland,1961,3.11,31.92
Switzerland,1962,2.62,32.94
Switzerland,1963,3.13,35.76
Switzerland,1964,3.55,34.84
Switzerland,1965,3.27,35.66
Switzerland,1966,3.1,38.59
Switzerland,1967,3.79,39.81
Switzerland,1968,2.95,40.04
Switzerland,1969,3.19,41.4
Switzerland,1970,3.46,41.07
Switzerland,1971,3.77,43.14
Switzerland,1972,4.2,43.25
Switzerland,1973,4.29,45.39
Switzerland,1974,3.82,46.17
Switzerland,1975,4.46,48.6
Switzerland,1976,4.68,47.86
Switzerland,1977,4.65,48.89
Switzerland,1978,4.55,48.78
Switzerland,1979,4.64,49.48
Switzerland,1980,5.57,48.04
Switzerland,1981,5.32,48.62
Switzerland,1982,6.04,49.3
Switzerland,1983,6.24,49.83
Switzerland,1984,5.83,47.12
Switzerland,1985,6.57,48.49
Switzerland,1986,6.59,48.15
Switzerland,1987,6.88,45.09
Switzerland,1988,6.77,45.49
Switzerland,1989,7.08,44.21
Switzerland,1990,7.64,45.01
Switzerland,1991,7.38,44.41
Switzerland,1992,8.81,44.07
Switzerland,1993,9.69,43.11
Switzerland,1994,9.92,41.63
Switzerland,1995,9.38,37.26
Switzerland,1996,8.7,37.4
Switzerland,1997,8.9,36.73
Switzerland,1998,9.83,36.86
Switzerland,1999,10.34,33.63
Switzerland,2000,10.93,35.42
Switzerland,2001,10.4,34.71
Switzerland,2002,10.71,31.85
Syria,2002,3.4,30.5
Tajikistan,1981,4.52,17.05
Tajikistan,1982,4.8,16.77
Tajikistan,1985,6.17,17.62
Tajikistan,1986,6.32,19.31
Tajikistan,1987,5.85,20.77
Tajikistan,1988,7.66,20.66
Tajikistan,1989,6.67,21.25
Tajikistan,1990,4.31,14.66
Tajikistan,1991,4.46,15.34
Tajikistan,1992,4.02,15.83
Tajikistan,1993,2.55,11.27
Tajikistan,1994,2.32,9.09
Tajikistan,1995,2.17,6.5
Tajikistan,1996,1.36,6.56
Tajikistan,1997,2.29,6.67
Tajikistan,1998,2.67,7.05
Tajikistan,1999,2.46,7.34
Tajikistan,2000,2.12,4.82
Tajikistan,2001,2.47,5
Tajikistan,2002,2.78,6.48
Tanzania,2002,0.5,2
Thailand,1957,0.4,0.94
Thailand,1958,0.31,1.01
Thailand,1959,0.44,1.17
Thailand,1960,0.54,1.16
Thailand,1961,0.56,1.13
Thailand,1962,0.55,1.59
Thailand,1963,0.63,1.89
Thailand,1964,0.87,1.8
Thailand,1965,0.73,2
Thailand,1966,0.77,1.68
Thailand,1967,0.81,1.75
Thailand,1968,0.78,1.75
Thailand,1969,0.84,1.94
Thailand,1970,0.88,2.55
Thailand,1971,1.04,2.6
Thailand,1972,0.96,2.24
Thailand,1973,1.36,3.51
Thailand,1974,1.68,3.8
Thailand,1975,2.07,4.55
Thailand,1976,1.44,3.13
Thailand,1977,1.59,3.83
Thailand,1978,1.4,4.25
Thailand,1979,1.84,5.14
Thailand,1980,1.91,5.44
Thailand,1981,1.77,5.5
Thailand,1982,2.01,6.21
Thailand,1983,1.89,5.68
Thailand,1984,1.81,4.79
Thailand,1985,1.51,4.31
Thailand,1986,1.73,4.17
Thailand,1987,1.82,5.02
Thailand,1990,2.12,6.01
Thailand,1991,2.27,6.53
Thailand,1992,2.23,6.43
Thailand,1994,2.55,7.41
Thailand,1995,2.87,8.11
Thailand,1996,2.72,8.14
Thailand,1997,2.79,7.85
Thailand,1998,3.3,9.03
Thailand,1999,4.05,10.52
Thailand,2000,5.19,13.18
Thailand,2002,6.18,15.92
Togo,2002,0.6,2.4
Trinidad and Tobago,1951,2.35,2.13
Trinidad and Tobago,1952,2.22,3.2
Trinidad and Tobago,1953,0.95,2.14
Trinidad and Tobago,1954,3.32,4.79
Trinidad and Tobago,1955,1.63,5.71
Trinidad and Tobago,1956,1.59,5.95
Trinidad and Tobago,1957,1.91,5.69
Trinidad and Tobago,1958,1.65,8.39
Trinidad and Tobago,1960,4.13,9.39
Trinidad and Tobago,1961,2.15,6.27
Trinidad and Tobago,1962,4.07,14.31
Trinidad and Tobago,1963,4.46,10.17
Trinidad and Tobago,1966,4.95,12.4
Trinidad and Tobago,1967,3.51,11.98
Trinidad and Tobago,1968,3.61,6.32
Trinidad and Tobago,1970,3.53,13.42
Trinidad and Tobago,1971,2.61,14.68
Trinidad and Tobago,1972,2.53,11.27
Trinidad and Tobago,1973,4.78,9.99
Trinidad and Tobago,1974,4.99,13.56
Trinidad and Tobago,1975,5.2,15.67
Trinidad and Tobago,1976,2.26,10.76
Trinidad and Tobago,1977,3.58,11.55
Trinidad and Tobago,1978,4.82,11.44
Trinidad and Tobago,1979,1.84,11.42
Trinidad and Tobago,1980,5.21,11.76
Trinidad and Tobago,1981,3.17,9.4
Trinidad and Tobago,1982,3.34,15.42
Trinidad and Tobago,1983,2.71,15.8
Trinidad and Tobago,1984,4.22,15.39
Trinidad and Tobago,1985,3.51,14.81
Trinidad and Tobago,1986,5.25,17.97
Trinidad and Tobago,1987,3.47,19.96
Trinidad and Tobago,1988,3.67,21.64
Trinidad and Tobago,1989,3.49,15.4
Trinidad and Tobago,1990,2.52,13.26
Trinidad and Tobago,1991,5.62,13.88
Trinidad and Tobago,1992,4.47,18.1
Trinidad and Tobago,1993,4.73,15.47
Trinidad and Tobago,1994,3.66,13.52
Trinidad and Tobago,1995,4.76,13.83
Trinidad and Tobago,1996,3.4,16.99
Trinidad and Tobago,1997,4.78,14.32
Trinidad and Tobago,1998,4.45,16.96
Trinidad and Tobago,1999,3.94,16.38
Trinidad and Tobago,2000,2.91,14.96
Trinidad and Tobago,2001,4.13,16.88
Trinidad and Tobago,2002,4.27,14.89
Tunisia,2002,1.8,27.1
Turkey,2002,4.9,44.1
Turkmenistan,1981,5.6,
Turkmenistan,1982,5.27,
Turkmenistan,1985,5.48,
Turkmenistan,1986,4.13,
Turkmenistan,1987,4.92,
Turkmenistan,1988,5.6,
Turkmenistan,1989,3.82,
Turkmenistan,1990,3.46,
Turkmenistan,1991,3.48,
Turkmenistan,1992,4.15,
Turkmenistan,1993,4.93,
Turkmenistan,1994,3.38,
Turkmenistan,1995,3.68,
Turkmenistan,1996,4.63,
Turkmenistan,1997,3.27,
Turkmenistan,1998,3.03,
Turkmenistan,2002,4.1,18.3
Uganda,2002,2.1,3.3
Ukraine,1981,6.52,48.87
Ukraine,1982,6.52,50.2
Ukraine,1985,6.51,54.49
Ukraine,1986,6.79,56.44
Ukraine,1987,6.94,59.25
Ukraine,1988,7.16,61.7
Ukraine,1989,7.28,63.28
Ukraine,1990,7.35,63.5
Ukraine,1991,7.38,63.39
Ukraine,1992,6.91,63.14
Ukraine,1993,6.77,61.62
Ukraine,1994,6.49,60.08
Ukraine,1995,6.46,57.64
Ukraine,1996,5.88,53.62
Ukraine,1997,5.9,52.24
Ukraine,1998,5.84,52.11
Ukraine,1999,5.85,50.82
Ukraine,2000,5.68,50.64
Ukraine,2001,5.3,48.05
Ukraine,2002,5.02,47.16
United Arab Emirates,2002,4.8,12.7
United Kingdom,1950,6.01,38.19
United Kingdom,1951,6.1,40.98
United Kingdom,1952,6.34,43.74
United Kingdom,1953,6.43,46.9
United Kingdom,1954,6.61,50.31
United Kingdom,1955,6.73,52.46
United Kingdom,1956,7.04,55.08
United Kingdom,1957,7.15,57.38
United Kingdom,1958,7.42,58.89
United Kingdom,1959,7.71,61.96
United Kingdom,1960,8.03,63.72
United Kingdom,1961,8.49,65.01
United Kingdom,1962,8.79,66.85
United Kingdom,1963,9.18,68.11
United Kingdom,1964,9.72,69.31
United Kingdom,1965,10.3,70.84
United Kingdom,1966,10.68,71.05
United Kingdom,1967,11.28,72.82
United Kingdom,1968,11.7,72.77
United Kingdom,1969,11.94,73.96
United Kingdom,1970,12.39,73.75
United Kingdom,1971,12.99,73.38
United Kingdom,1972,13.58,74.22
United Kingdom,1973,13.88,74.24
United Kingdom,1974,14.85,74.59
United Kingdom,1975,15.01,72.74
United Kingdom,1976,15.45,73.58
United Kingdom,1977,16.08,72.42
United Kingdom,1978,16.65,72.28
United Kingdom,1979,17.25,71.91
United Kingdom,1980,17.75,70.82
United Kingdom,1981,17.95,69.04
United Kingdom,1982,18.9,67.62
United Kingdom,1983,18.75,68.24
United Kingdom,1984,19.95,66.58
United Kingdom,1985,19.85,65.9
United Kingdom,1986,20.09,63.42
United Kingdom,1987,20.51,61.71
United Kingdom,1988,21.26,60.96
United Kingdom,1989,21.09,58.56
United Kingdom,1990,20.96,57.43
United Kingdom,1991,21.1,56.33
United Kingdom,1992,21.02,54.32
United Kingdom,1993,20.87,51.72
United Kingdom,1994,20.9,49.9
United Kingdom,1995,20.65,47.76
United Kingdom,1996,20.55,45.61
United Kingdom,1997,19.87,43.38
United Kingdom,1998,20.27,42.74
United Kingdom,1999,20.11,40.62
United Kingdom,2000,19.94,39.23
United Kingdom,2001,19.53,38.15
United Kingdom,2002,19.67,37.58
United States,1950,3.65,17.31
United States,1951,3.67,18.47
United States,1952,3.83,19.91
United States,1953,3.73,21.66
United States,1954,3.74,22.58
United States,1955,3.89,24.08
United States,1956,4.03,25.93
United States,1957,4.04,27.05
United States,1958,4.21,27.93
United States,1959,4.29,29.32
United States,1960,4.39,30.75
United States,1961,4.75,32.27
United States,1962,4.98,33.8
United States,1963,5.35,34.92
United States,1964,5.49,36.24
United States,1965,5.98,37.56
United States,1966,6.39,39.13
United States,1967,6.85,40.53
United States,1968,7.82,43.08
United States,1969,8.37,43.99
United States,1970,8.98,45.33
United States,1971,9.76,46.44
United States,1972,10.54,48.11
United States,1973,10.93,48.76
United States,1974,11.78,49.99
United States,1975,12.53,50.68
United States,1976,13.49,51.76
United States,1977,14.3,52.84
United States,1978,15.3,53.85
United States,1979,15.95,54.24
United States,1980,17.21,55.24
United States,1981,17.8,55.2
United States,1982,18.89,55.88
United States,1983,19.95,55.53
United States,1984,20.46,56.08
United States,1985,21.45,56.03
United States,1986,21.91,55.83
United States,1987,22.74,56.33
United States,1988,23.58,55.88
United States,1989,24.47,55.58
United States,1990,25.09,55.95
United States,1991,25.33,55.28
United States,1992,26.02,54.22
United States,1993,26.26,54.07
United States,1994,26.33,52.74
United States,1995,26.53,51.66
United States,1996,26.44,50.56
United States,1997,26.49,49.37
United States,1998,26.57,48.49
United States,1999,25.77,46.54
United States,2000,26.24,46.15
United States,2001,25.94,45.16
United States,2002,26.15,44.11
Uruguay,1955,4.14,28.2
Uruguay,1956,3.14,35.92
Uruguay,1957,3.31,34.96
Uruguay,1958,3.8,32.3
Uruguay,1959,3.48,37.06
Uruguay,1960,4.18,38.28
Uruguay,1963,4.26,37.46
Uruguay,1964,3.44,41.85
Uruguay,1965,3.51,41.85
Uruguay,1966,3.25,42.86
Uruguay,1967,4.06,44.97
Uruguay,1968,2.87,42.6
Uruguay,1969,3.59,42.94
Uruguay,1970,4.04,43.48
Uruguay,1971,3.52,45.16
Uruguay,1972,3.71,42.9
Uruguay,1973,3.6,44.25
Uruguay,1974,3.1,42.31
Uruguay,1975,3.71,47.91
Uruguay,1976,4.06,46.84
Uruguay,1977,3.97,47.13
Uruguay,1978,4.1,50.21
Uruguay,1980,3.38,48.43
Uruguay,1981,4.04,51.34
Uruguay,1982,3.93,53.03
Uruguay,1983,4.54,53.42
Uruguay,1984,4.01,54.05
Uruguay,1985,3.69,53.16
Uruguay,1986,3.98,55.25
Uruguay,1987,4.43,55.76
Uruguay,1988,4.31,56.99
Uruguay,1989,4.98,52.42
Uruguay,1990,4.15,56.25
Uruguay,1993,5.27,52.35
Uruguay,1994,5.03,50
Uruguay,1995,5.29,56.52
Uruguay,1996,4.98,49.31
Uruguay,1997,6.27,50.75
Uruguay,1998,5.85,49.57
Uruguay,1999,5.19,46.71
Uruguay,2000,5.6,48.15
Uruguay,2001,6.01,47.91
Uruguay,2002,6.18,46.16
Uzbekistan,1981,4.68,18.03
Uzbekistan,1982,4.97,20.07
Uzbekistan,1985,4.89,19.72
Uzbekistan,1986,5.08,22.85
Uzbekistan,1987,6.03,24.59
Uzbekistan,1988,5.52,21.21
Uzbekistan,1989,4.84,22.29
Uzbekistan,1990,5.39,20.3
Uzbekistan,1991,4.77,19.85
Uzbekistan,1992,4.86,18.79
Uzbekistan,1993,4.78,17.3
Uzbekistan,1994,4.12,14.82
Uzbekistan,1995,3.9,15.45
Uzbekistan,1996,3.66,13.83
Uzbekistan,1997,3.65,13.75
Uzbekistan,1998,3.83,12.56
Uzbekistan,1999,3.26,11.49
Uzbekistan,2000,3.26,10.93
Uzbekistan,2002,3.12,10.98
Vanuatu,2002,5.8,12.7
Venezuela,1955,4.02,9.09
Venezuela,1956,5.05,9.97
Venezuela,1957,5.57,8.52
Venezuela,1958,5.38,10.04
Venezuela,1959,5.41,9.81
Venezuela,1960,5.41,9.04
Venezuela,1961,5.78,9.92
Venezuela,1962,4.89,11.28
Venezuela,1963,5.67,10.49
Venezuela,1964,5.83,12.22
Venezuela,1965,7.1,13.18
Venezuela,1966,6.44,13.65
Venezuela,1967,5.4,11.81
Venezuela,1968,6.92,12.32
Venezuela,1969,6.03,12.01
Venezuela,1970,5.99,14.13
Venezuela,1971,5.97,14.27
Venezuela,1972,6.47,14.9
Venezuela,1973,6.58,11.98
Venezuela,1974,6.6,14.38
Venezuela,1975,6.54,15.47
Venezuela,1976,7.51,14.45
Venezuela,1977,6.46,16.05
Venezuela,1978,5.79,14.36
Venezuela,1979,6.54,15.23
Venezuela,1980,6.96,14.88
Venezuela,1981,6.99,15.29
Venezuela,1982,6.7,15.4
Venezuela,1983,7.29,16.92
Venezuela,1985,7.04,15.53
Venezuela,1986,6.41,15.12
Venezuela,1987,7.52,17.13
Venezuela,1988,7.79,17.09
Venezuela,1989,7.83,15.82
Venezuela,1990,9.02,18.76
Venezuela,1992,8.63,18.79
Venezuela,1993,8.41,17.67
Venezuela,1994,9.18,18.85
Venezuela,1996,8.41,17.26
Venezuela,1997,8.81,18.1
Venezuela,1998,8.53,17.44
Venezuela,1999,8.95,17.45
Venezuela,2000,8.94,16.41
Venezuela,2001,9.25,17.18
Venezuela,2002,9.26,16.86
Vietnam,2002,6.7,27.4
Yemen,2002,3.4,3.8
Zambia,2002,0.9,6.3
Zimbabwe,2002,5.8,12.1